epoch,train_loss,val_loss,lr,duration
1,105.88074738638741,159.2386932373047,0.005,0.17117857933044434
2,88.10096073150635,158.22039794921875,0.005,0.3528869152069092
3,85.4366044998169,156.44334411621094,0.005,0.5362777709960938
4,83.5823860168457,156.80934143066406,0.005,0.7360942363739014
5,81.16889442716327,158.04835510253906,0.005,0.9334101676940918
6,80.58962917327881,155.3456573486328,0.005,1.1283502578735352
7,79.69797563552856,154.81365966796875,0.005,1.3267595767974854
8,78.61803082057408,154.79501342773438,0.005,1.50888991355896
9,78.18271337236676,152.9812774658203,0.005,1.6854212284088135
10,78.66803319113595,154.59471130371094,0.005,1.8656373023986816
11,82.21716485704694,152.32888793945312,0.005,2.0574023723602295
12,77.78589344024658,150.2559051513672,0.005,2.251229763031006
13,77.86441598619733,153.8087158203125,0.005,2.439971685409546
14,80.29653467450824,156.2174835205078,0.005,2.6253914833068848
15,78.7021484375,154.09820556640625,0.005,2.8110551834106445
16,76.21711104256767,152.06556701660156,0.005,2.9931766986846924
17,76.30392319815499,150.6714630126953,0.005,3.181694746017456
18,75.5073573248727,148.1253204345703,0.005,3.3754184246063232
19,75.4259135382516,149.92494201660156,0.005,3.5602409839630127
20,75.2409222466605,148.8441162109375,0.005,3.7540438175201416
21,74.74770736694336,151.37815856933594,0.005,3.941864013671875
22,75.7843326841082,148.80162048339844,0.005,4.130055904388428
23,77.90802070072719,147.47767639160156,0.005,4.331213474273682
24,76.67203957693917,145.26368713378906,0.005,4.533566236495972
25,74.87824589865548,149.95704650878906,0.005,4.73390007019043
26,74.04710388183594,152.847900390625,0.005,4.9451069831848145
27,73.39190632956368,146.5140838623047,0.005,5.141424179077148
28,74.59642328534808,148.74197387695312,0.005,5.334439277648926
29,74.36749029159546,140.0525665283203,0.005,5.534897565841675
30,73.83688463483539,144.50204467773438,0.005,5.731320381164551
31,75.02135767255511,152.07777404785156,0.005,5.932140588760376
32,72.24042510986328,146.3833770751953,0.005,6.133105754852295
33,77.31125463758197,140.4250030517578,0.005,6.3397839069366455
34,73.62665476117816,145.018310546875,0.005,6.549031734466553
35,74.02179445539203,146.3377685546875,0.005,6.75563383102417
36,73.09773063659668,143.40699768066406,0.005,6.967930555343628
37,72.67034244537354,137.49630737304688,0.005,7.184459924697876
38,72.24506895882743,148.39927673339844,0.005,7.40420126914978
39,71.24159554072789,140.76806640625,0.005,7.610791206359863
40,70.99721465791974,146.2757110595703,0.005,7.8302083015441895
41,70.58276040213448,140.0530548095703,0.005,8.029945135116577
42,69.25764805930001,143.7272186279297,0.005,8.245090007781982
43,69.2455884388515,139.41641235351562,0.005,8.456913948059082
44,69.67143971579415,142.4390869140625,0.005,8.673361539840698
45,70.33738027300153,137.6875457763672,0.005,8.89152455329895
46,68.25553505761283,141.0365447998047,0.005,9.111986637115479
47,67.69880553654262,138.4393768310547,0.005,9.328755378723145
48,68.32103770119804,137.62132263183594,0.005,9.54289197921753
49,67.61123044150216,143.63436889648438,0.005,9.757604837417603
50,67.76517581939697,143.0865020751953,0.005,9.975868463516235
51,69.56149005889893,135.3734588623047,0.005,10.202561616897583
52,68.05354240962437,141.63983154296875,0.005,10.42901086807251
53,65.29253087724958,133.6150665283203,0.005,10.65686845779419
54,70.84610285077777,141.48109436035156,0.005,10.884596347808838
55,65.37873690468925,130.93161010742188,0.005,11.109950542449951
56,70.15726797921317,131.5888214111328,0.005,11.342903852462769
57,66.22329834529332,136.89698791503906,0.005,11.56682276725769
58,65.22463812146869,132.04664611816406,0.005,11.797897577285767
59,65.61476230621338,132.02288818359375,0.005,12.029916048049927
60,63.46758610861642,138.94686889648438,0.005,12.261404991149902
61,64.61131613595145,130.6894073486328,0.005,12.49424934387207
62,61.680393763950896,138.56602478027344,0.005,12.725908279418945
63,60.04809788295201,131.8603057861328,0.005,12.963574171066284
64,60.11296354021345,129.03318786621094,0.005,13.197636604309082
65,59.49023246765137,133.68869018554688,0.005,13.435052633285522
66,59.08883803231375,137.86044311523438,0.005,13.66940450668335
67,64.08172593797956,122.29661560058594,0.005,13.900036096572876
68,65.39532143729073,141.0672149658203,0.005,14.136411428451538
69,68.05884470258441,124.71041870117188,0.005,14.375865697860718
70,62.445489338466096,128.40980529785156,0.005,14.620548725128174
71,59.54984583173479,129.12442016601562,0.005,14.860247611999512
72,60.455642563956125,126.70317840576172,0.005,15.097396612167358
73,56.00541155678885,127.83191680908203,0.005,15.338085174560547
74,55.95631340571812,132.73944091796875,0.005,15.578561305999756
75,64.22374997820172,116.52576446533203,0.005,15.821482181549072
76,61.635221753801616,125.69107818603516,0.005,16.069972276687622
77,65.69895349230084,130.97642517089844,0.005,16.316279649734497
78,56.50166579655239,117.63465118408203,0.005,16.55900239944458
79,55.521521295819966,126.39252471923828,0.005,16.80730414390564
80,54.742065702165874,123.82610321044922,0.005,17.049412488937378
81,57.89968797138759,124.30929565429688,0.005,17.29425883293152
82,67.43557344164167,121.78482818603516,0.005,17.54169774055481
83,56.404159954616,115.94029998779297,0.005,17.797266006469727
84,55.97745323181152,118.33869934082031,0.005,18.04146647453308
85,54.22868456159319,121.8669662475586,0.005,18.285418033599854
86,50.748279094696045,119.73988342285156,0.005,18.536268949508667
87,51.17012405395508,119.69695281982422,0.005,18.78194236755371
88,53.91940689086914,116.70024871826172,0.005,19.042104482650757
89,54.52468517848423,118.19442749023438,0.005,19.3061363697052
90,58.84765298025949,113.82447814941406,0.005,19.559836864471436
91,49.0613168988909,112.5235824584961,0.005,19.821447372436523
92,49.68996592930385,120.06922912597656,0.005,20.07660174369812
93,48.630423818315776,110.73946380615234,0.005,20.33568000793457
94,47.15803813934326,123.46149444580078,0.005,20.59266495704651
95,48.03450196129935,113.93123626708984,0.005,20.85528016090393
96,46.40123312813895,110.5308609008789,0.005,21.11053490638733
97,44.94296836853027,114.97466278076172,0.005,21.37666654586792
98,44.699776785714285,114.75337219238281,0.005,21.647107362747192
99,44.8120437349592,110.55529022216797,0.005,21.904895067214966
100,48.70417267935617,103.66554260253906,0.005,22.17082643508911
101,52.24687188012259,125.23381805419922,0.005,22.43216109275818
102,44.790880748203826,113.57485961914062,0.005,22.690768480300903
103,46.80754995346069,99.30441284179688,0.005,22.95034694671631
104,42.1805613381522,107.40660858154297,0.005,23.208333253860474
105,42.954723426273894,121.84772491455078,0.005,23.46809697151184
106,40.77276849746704,106.43846130371094,0.005,23.72278904914856
107,41.50637912750244,108.51551055908203,0.005,23.98157238960266
108,48.073821135929656,100.43647766113281,0.005,24.237489938735962
109,45.19275910513742,115.63562774658203,0.005,24.49637007713318
110,40.985005719321116,106.19639587402344,0.005,24.756511449813843
111,41.35503264835903,106.80364990234375,0.005,25.011322021484375
112,38.28360203334263,101.09391021728516,0.005,25.26699709892273
113,37.78720736503601,104.8220443725586,0.005,25.52717614173889
114,37.97096960885184,111.94035339355469,0.005,25.78374695777893
115,37.44117409842355,99.30270385742188,0.005,26.03749179840088
116,40.32650906699045,92.5630111694336,0.005,26.300899267196655
117,53.61828545161656,114.33170318603516,0.005,26.562784433364868
118,50.397174903324675,122.57125091552734,0.005,26.825405597686768
