u_r2,u_rmse,u_mae,v_r2,v_rmse,v_mae,w_r2,w_rmse,w_mae,p_r2,p_rmse,p_mae,k_r2,k_rmse,k_mae,wake_r2,wake_rmse,wake_mae,holdout
0.12051260471343994,12.204017753035524,6.082132339477539,0.04133152961730957,6.244091445399853,2.3896584510803223,0.0031716227531433105,2.18278922612665,1.0257340669631958,0.07921111583709717,0.4993665228734095,0.2657809555530548,0.1595708131790161,1.21885245454961,0.3847561180591583,0.21664714813232422,0.4179720299137517,0.3829079568386078,0
0.06446272134780884,15.394515886664498,6.24294376373291,0.08641618490219116,4.887552582050609,2.493659734725952,0.03680002689361572,2.0781531081055507,0.9429881572723389,0.14765894412994385,0.40411747070977505,0.2757824957370758,0.2194603681564331,1.1674730658844918,0.4464789032936096,0.21143275499343872,0.41509797519611813,0.3697795271873474,1
-0.16953051090240479,16.29405836158153,8.85190486907959,-0.03851461410522461,3.7913996144804005,2.4640254974365234,-0.032720208168029785,1.8551514042967976,1.0361417531967163,-3.629507064819336,0.33934473254009473,0.29041174054145813,0.14114820957183838,2.4672569878753956,0.8445010781288147,0.1421603560447693,0.4066659741741027,0.31290721893310547,3
0.060812413692474365,20.83329728186985,7.434696197509766,-0.054317355155944824,3.5015689875326865,2.042067289352417,0.024703562259674072,2.5967120985954417,1.1413887739181519,-0.2577524185180664,0.5187646760358249,0.3574439585208893,0.20421969890594482,1.0906070784268598,0.37456628680229187,0.08521223068237305,0.4256085211690908,0.30746951699256897,4
0.1141929030418396,16.34956446076288,5.857781410217285,0.03495746850967407,5.780657103782724,2.6621103286743164,0.02378326654434204,1.969759546021716,1.0277878046035767,0.057189881801605225,0.7310885079887484,0.3316892683506012,0.19975757598876953,1.3517730637070169,0.48378849029541016,0.1698451042175293,0.41493774972670544,0.3702569603919983,5
0.26686519384384155,7.867668008383216,5.5094780921936035,-0.006234884262084961,5.160610135696771,2.3310647010803223,-0.11523282527923584,1.7390873443665962,1.0445224046707153,-2.302577257156372,0.29073093237227376,0.23809196054935455,0.38729768991470337,1.5817081827973054,0.6356801986694336,0.1281132698059082,0.43614509794132084,0.35014551877975464,6
-0.024346232414245605,52.7160037444157,25.134140014648438,-0.02617466449737549,6.35967372033358,3.669952630996704,-0.059816598892211914,3.767071711162209,1.3921006917953491,-0.2624472379684448,38.974688801676145,19.578784942626953,0.021679699420928955,16.248733236382133,2.18200421333313,-0.431754469871521,0.39851130007752866,0.2765946388244629,7
0.0755535364151001,23.908797862593907,8.553739547729492,0.015002191066741943,4.443188097660441,2.404813528060913,-0.02682042121887207,2.884036747532979,1.3392874002456665,0.0012173652648925781,1.1362220229427993,0.5173481702804565,0.09945976734161377,1.443268108450569,0.5155507922172546,0.05032461881637573,0.4427362844581819,0.32474231719970703,8
0.07819300889968872,24.87867410641027,8.621854782104492,0.015110313892364502,4.9004379154628275,2.502980947494507,0.024911880493164062,2.4120646978402926,1.111573576927185,-0.2289804220199585,0.5194126940383091,0.4321485459804535,-0.8650485277175903,1.2803138941840342,0.640474796295166,0.23824751377105713,0.39481409717071897,0.3251732289791107,9
0.021824419498443604,50.00133299004388,12.06789493560791,0.011350274085998535,5.681872255934981,2.601685047149658,-0.007140159606933594,4.055021944750991,1.699398398399353,-0.06028175354003906,1.9221404597852767,0.9882991313934326,0.2291489839553833,1.8400562592903282,0.4617917835712433,0.060512423515319824,0.4237671030300863,0.3752601146697998,10
